SOURCE_FIELD_NAME,FIELD_NAME
CUST_NO,PERS_ID
OBL_CODE,PERS_ID
ACCT_NBR,PERS_ID
CUST_NO,PERS_ID
CUST_TYPE,ID_SUB_CTG
CUST_NO,CUST_NO
OBL_CODE,CUST_NO
ACCT_NBR,CUST_NO
ACCT,CUST_NO
CUST_NO,CUST_NO
CIF_PK,CUST_NO
CIF_PK,CUST_NO
CIF_NAME,CUST_NM
OBL_NAME,CUST_NM
ID_NAME,CUST_NM
SHORT_NM,CUST_NM
MEM_SINCE,FST_REG_DT
DATE_OPEN,FST_REG_DT
LAST_MAINT,LST_TX_DT
LST_MAINT_DT,LST_TX_DT
VIP,CUST_GRD_CL
DCIF,GCIF_NO
DCIF,GCIF_NO
CIF,PERS_ID
CIF,PERS_ID
CIF,PERS_ID
CIF,PERS_ID
APPL_CODE,APPL_CD
APPL_CODE,APPL_CD
APPL_CODE,APPL_CD
APPL_CODE,APPL_CD
SEQ_NBR,SEQ_NO
SEQ_NBR,SEQ_NO
SEQ_NBR,SEQ_NO
 CUST_NO,PERS_ID
 CUST_NO,PERS_ID
REC_SEQ,REC_SEQ_NO
REC_SEQ,REC_SEQ_NO
APPLIC_CODE1,APPL_CD
APPLIC_CODE2,APPL_CD
APPLIC_CODE3,APPL_CD
APPLIC_CODE4,APPL_CD
APPLIC_CODE5,APPL_CD
APPL_CODE1,APPL_CD
APPL_CODE2,APPL_CD
APPL_CODE3,APPL_CD
APPL_CODE4,APPL_CD
APPL_CODE5,APPL_CD
APPL_CODE6,APPL_CD
APPL_CODE7,APPL_CD
APPL_CODE8,APPL_CD
APPL_CODE9,APPL_CD
APPL_CODE10,APPL_CD
APPL_CODE11,APPL_CD
APPLIC_TRID1,TRAILER_ID
APPLIC_TRID2,TRAILER_ID
APPLIC_TRID3,TRAILER_ID
APPLIC_TRID4,TRAILER_ID
APPLIC_TRID5,TRAILER_ID
APPLIC_SEG_ID1,TRAILER_ID
APPLIC_SEG_ID2,TRAILER_ID
APPLIC_SEG_ID3,TRAILER_ID
APPLIC_SEG_ID4,TRAILER_ID
APPLIC_SEG_ID5,TRAILER_ID
APPLIC_SEG_ID6,TRAILER_ID
APPLIC_SEG_ID7,TRAILER_ID
APPLIC_SEG_ID8,TRAILER_ID
APPLIC_SEG_ID9,TRAILER_ID
APPLIC_SEG_ID10,TRAILER_ID
APPLIC_SEG_ID11,TRAILER_ID
 CUST_NO,PERS_ID
 CUST_NO,PERS_ID
REC_SEQ,REC_SEQ_NO
REC_SEQ,REC_SEQ_NO
APPLIC_CODE1,APPL_CD
APPLIC_CODE2,APPL_CD
APPLIC_CODE3,APPL_CD
APPLIC_CODE4,APPL_CD
APPLIC_CODE5,APPL_CD
APPL_CODE1,APPL_CD
APPL_CODE2,APPL_CD
APPL_CODE3,APPL_CD
APPL_CODE4,APPL_CD
APPL_CODE5,APPL_CD
APPL_CODE6,APPL_CD
APPL_CODE7,APPL_CD
APPL_CODE8,APPL_CD
APPL_CODE9,APPL_CD
APPL_CODE10,APPL_CD
APPL_CODE11,APPL_CD
APPLIC_TRID1,TRAILER_ID
APPLIC_TRID2,TRAILER_ID
APPLIC_TRID3,TRAILER_ID
APPLIC_TRID4,TRAILER_ID
APPLIC_TRID5,TRAILER_ID
APPLIC_SEG_ID1,TRAILER_ID
APPLIC_SEG_ID2,TRAILER_ID
APPLIC_SEG_ID3,TRAILER_ID
APPLIC_SEG_ID4,TRAILER_ID
APPLIC_SEG_ID5,TRAILER_ID
